amount_initial_centers,kmax,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
2,10,20.0,20,0.0260894298553466,0.1107,91.6208,1.7359,0.5545,0.1509,0.4616,0.3151,0.3189,0.699,0.2066,0.3189,0.4056,pyc_xmeans,wdbc_y.zip
2,10,inf,100,0.0252106189727783,0.1293,93.1094,1.4017,0.5801,0.1966,0.4675,0.3464,0.3506,0.7079,0.233,0.3506,0.4618,pyc_xmeans,wdbc_y.zip
2,10,inf,20,0.0412671566009521,0.1183,96.2362,1.6493,0.5628,0.1653,0.4656,0.3285,0.3324,0.7051,0.2175,0.3324,0.4252,pyc_xmeans,wdbc_y.zip
2,14,1000.0,100,0.0193233489990234,0.1441,92.2416,1.4077,0.5891,0.2129,0.4703,0.3538,0.3581,0.7123,0.2391,0.3581,0.4796,pyc_xmeans,wdbc_y.zip
2,14,1000.0,20,0.0266482830047607,0.1324,93.3233,1.3573,0.5789,0.194,0.4569,0.3404,0.3446,0.6919,0.2295,0.3446,0.46,pyc_xmeans,wdbc_y.zip
2,14,100.0,100,0.0247004032135009,0.1289,108.3213,1.6634,0.5802,0.1967,0.4613,0.346,0.3491,0.6987,0.2326,0.3491,0.4624,pyc_xmeans,wdbc_y.zip
2,14,100.0,20,0.018878698348999,0.1306,108.7613,1.6284,0.5798,0.1956,0.4533,0.3411,0.3442,0.6866,0.2296,0.3442,0.4618,pyc_xmeans,wdbc_y.zip
2,14,20.0,20,0.0257008075714111,0.0957,89.9872,1.7431,0.553,0.1478,0.4469,0.3055,0.3093,0.6768,0.2005,0.3093,0.4028,pyc_xmeans,wdbc_y.zip
2,14,inf,100,0.0200653076171875,0.1318,108.6321,1.653,0.5801,0.1962,0.4574,0.3438,0.3469,0.6927,0.2314,0.3469,0.4624,pyc_xmeans,wdbc_y.zip
2,14,inf,20,0.0404572486877441,0.107,98.5324,1.6644,0.5612,0.1622,0.4523,0.3226,0.3261,0.6849,0.214,0.3261,0.4226,pyc_xmeans,wdbc_y.zip
2,18,1000.0,100,0.028583288192749,0.1215,96.8018,1.6569,0.5686,0.1763,0.48,0.3397,0.3436,0.7269,0.225,0.3436,0.4369,pyc_xmeans,wdbc_y.zip
2,18,1000.0,20,0.028592824935913,0.1165,100.4215,1.6974,0.5694,0.1771,0.472,0.3401,0.3436,0.7148,0.2261,0.3436,0.4396,pyc_xmeans,wdbc_y.zip
2,18,100.0,100,0.0184078216552734,0.1469,104.1554,1.5237,0.597,0.2268,0.4548,0.3495,0.3532,0.6888,0.2375,0.3532,0.4955,pyc_xmeans,wdbc_y.zip
2,18,100.0,20,0.0244581699371337,0.1075,91.4362,1.5914,0.5577,0.1562,0.472,0.3258,0.3301,0.7148,0.2146,0.3301,0.4139,pyc_xmeans,wdbc_y.zip
2,18,20.0,20,0.0317702293395996,0.1149,96.6253,1.6515,0.5699,0.1784,0.4694,0.3351,0.3391,0.7108,0.2227,0.3391,0.4402,pyc_xmeans,wdbc_y.zip
2,18,inf,100,0.0220344066619873,0.1231,96.7196,1.6313,0.5789,0.1954,0.4949,0.353,0.3568,0.7494,0.2341,0.3568,0.4575,pyc_xmeans,wdbc_y.zip
2,18,inf,20,0.04233980178833,0.107,92.6236,1.6921,0.5605,0.1621,0.4988,0.3419,0.3455,0.7554,0.224,0.3455,0.4182,pyc_xmeans,wdbc_y.zip
2,22,1000.0,100,0.0269703865051269,0.1123,96.2293,1.6451,0.5628,0.1655,0.4667,0.3291,0.333,0.7067,0.2179,0.333,0.4253,pyc_xmeans,wdbc_y.zip
2,22,1000.0,20,0.0347802639007568,0.1234,88.2447,1.4383,0.5738,0.1857,0.4822,0.3443,0.3488,0.7302,0.2291,0.3488,0.4477,pyc_xmeans,wdbc_y.zip
2,22,100.0,100,0.0168521404266357,0.119,88.5018,1.425,0.5791,0.1958,0.4968,0.3545,0.3589,0.7523,0.2357,0.3589,0.4578,pyc_xmeans,wdbc_y.zip
2,22,100.0,20,0.0258929729461669,0.1276,108.2794,1.6716,0.5838,0.2036,0.4798,0.3597,0.3627,0.7266,0.2417,0.3627,0.4688,pyc_xmeans,wdbc_y.zip
2,22,20.0,20,0.02763032913208,0.1292,108.4496,1.6404,0.5799,0.1958,0.4485,0.3374,0.3405,0.6792,0.2272,0.3405,0.4621,pyc_xmeans,wdbc_y.zip
2,22,inf,100,0.0685272216796875,0.113,103.2655,1.7472,0.5712,0.1796,0.4262,0.317,0.3202,0.6454,0.2129,0.3202,0.4455,pyc_xmeans,wdbc_y.zip
2,22,inf,20,0.0381851196289062,0.1289,99.4063,1.6548,0.5715,0.1815,0.4803,0.3448,0.3482,0.7273,0.2289,0.3482,0.4431,pyc_xmeans,wdbc_y.zip
2,2,1000.0,100,0.0084867477416992,0.3434,267.6917,1.3205,0.8279,0.6536,0.3466,0.5318,0.5324,0.5249,0.5401,0.5324,0.841,pyc_xmeans,wdbc_y.zip
2,2,1000.0,20,0.0107800960540771,0.3434,267.6917,1.3205,0.8279,0.6536,0.3466,0.5318,0.5324,0.5249,0.5401,0.5324,0.841,pyc_xmeans,wdbc_y.zip
