amount_initial_centers,kmax,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
6,18,inf,100,0.1072301864624023,0.1361,653.5311,1.9038,pyc_xmeans,wine.zip
6,18,inf,20,0.1399297714233398,0.1428,681.8665,1.727,pyc_xmeans,wine.zip
6,22,1000.0,100,0.2090728282928466,0.1349,591.2843,1.6965,pyc_xmeans,wine.zip
6,22,1000.0,20,0.1524138450622558,0.1358,604.7833,1.7649,pyc_xmeans,wine.zip
6,22,20.0,20,0.153681993484497,0.1274,589.6193,1.8573,pyc_xmeans,wine.zip
6,22,inf,100,0.1287548542022705,0.1316,586.4883,1.7775,pyc_xmeans,wine.zip
6,22,inf,20,0.2284305095672607,0.1351,603.4414,1.7709,pyc_xmeans,wine.zip
6,2,1000.0,100,0.1089415550231933,0.2084,1194.6659,1.4069,pyc_xmeans,wine.zip
6,2,1000.0,20,0.0561113357543945,0.1987,1216.1773,1.4966,pyc_xmeans,wine.zip
6,2,20.0,20,0.1206834316253662,0.165,1104.261,1.543,pyc_xmeans,wine.zip
6,2,inf,100,0.0700728893280029,0.2088,1194.5481,1.4482,pyc_xmeans,wine.zip
6,2,inf,20,0.0617029666900634,0.1741,1253.1586,1.7087,pyc_xmeans,wine.zip
6,6,1000.0,100,0.0759203433990478,0.1987,1217.1282,1.4464,pyc_xmeans,wine.zip
6,6,1000.0,20,0.125882863998413,0.1821,1202.1759,1.6401,pyc_xmeans,wine.zip
6,6,20.0,20,0.0764911174774169,0.1726,1245.839,1.7186,pyc_xmeans,wine.zip
6,6,inf,100,0.0774252414703369,0.1742,1253.2107,1.7126,pyc_xmeans,wine.zip
6,6,inf,20,0.0802209377288818,0.1995,1214.3536,1.5242,pyc_xmeans,wine.zip
8,10,1000.0,100,0.1517488956451416,0.1716,963.6378,1.6794,pyc_xmeans,wine.zip
8,10,1000.0,20,0.0941882133483886,0.1594,970.2197,1.6581,pyc_xmeans,wine.zip
8,10,20.0,20,0.0908303260803222,0.1577,951.6716,1.652,pyc_xmeans,wine.zip
8,10,inf,100,0.0897941589355468,0.1656,941.9814,1.7715,pyc_xmeans,wine.zip
8,10,inf,20,0.189359426498413,0.1551,934.2353,1.6461,pyc_xmeans,wine.zip
8,14,1000.0,100,0.128699779510498,0.1481,779.8888,1.7536,pyc_xmeans,wine.zip
8,14,1000.0,20,0.1553359031677246,0.1495,778.9585,1.7588,pyc_xmeans,wine.zip
8,14,20.0,20,0.1563358306884765,0.1496,783.5972,1.7824,pyc_xmeans,wine.zip
8,14,inf,100,0.1148645877838134,0.1427,784.436,1.7535,pyc_xmeans,wine.zip
8,14,inf,20,0.1064960956573486,0.1493,783.9253,1.7598,pyc_xmeans,wine.zip
8,18,1000.0,100,0.2000362873077392,0.1496,660.0073,1.6288,pyc_xmeans,wine.zip
8,18,1000.0,20,0.1292579174041748,0.1429,668.6397,1.7252,pyc_xmeans,wine.zip
8,18,20.0,20,0.1365776062011718,0.1536,651.4269,1.6197,pyc_xmeans,wine.zip
8,18,inf,100,0.1437649726867675,0.1509,674.6362,1.7328,pyc_xmeans,wine.zip
8,18,inf,20,0.1792857646942138,0.1352,651.869,1.8298,pyc_xmeans,wine.zip
8,22,1000.0,100,0.1326179504394531,0.1328,590.1072,1.7351,pyc_xmeans,wine.zip
8,22,1000.0,20,0.2531051635742187,0.1347,588.999,1.6791,pyc_xmeans,wine.zip
8,22,20.0,20,0.1757793426513672,0.1342,589.2752,1.6752,pyc_xmeans,wine.zip
8,22,inf,100,0.1629738807678222,0.1329,596.3672,1.7703,pyc_xmeans,wine.zip
8,22,inf,20,0.1487290859222412,0.1401,610.0386,1.766,pyc_xmeans,wine.zip
