max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,random_state,metric_con,metric_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
10,12,3,50,inf,inf,0.1,42,cos,jaccard,35.97934341430664,0.0065,259.1151,10.0508,CenterParTree2,wine.zip
10,12,3,50,inf,inf,0.2,42,cos,jaccard,36.50465750694275,0.0065,259.1151,10.0508,CenterParTree2,wine.zip
10,12,3,5,1000.0,100.0,0.0,42,cos,jaccard,313.5675845146179,-0.1199,145.5869,3.8625,CenterParTree2,wine.zip
10,12,3,5,1000.0,100.0,0.1,42,cos,jaccard,405.9715287685394,-0.0736,230.7386,1.8077,CenterParTree2,wine.zip
10,12,3,5,1000.0,20.0,0.1,42,cos,jaccard,368.4652831554413,0.0411,11.5886,0.4855,CenterParTree2,wine.zip
10,12,3,5,1000.0,inf,0.0,42,cos,jaccard,36.28046441078186,0.0065,259.1151,10.0508,CenterParTree2,wine.zip
10,12,3,5,1000.0,inf,0.1,42,cos,jaccard,36.20732140541077,0.0065,259.1151,10.0508,CenterParTree2,wine.zip
10,12,3,5,1000.0,inf,0.2,42,cos,jaccard,36.08110284805298,0.0065,259.1151,10.0508,CenterParTree2,wine.zip
10,12,3,5,100.0,100.0,0.0,42,cos,jaccard,9.89198875427246,0.0065,259.3271,11.3783,CenterParTree2,wine.zip
10,12,3,5,100.0,100.0,0.1,42,cos,jaccard,10.089000940322876,0.0065,259.3271,11.3783,CenterParTree2,wine.zip
10,12,3,5,100.0,100.0,0.2,42,cos,jaccard,9.832422256469728,0.0065,259.3271,11.3783,CenterParTree2,wine.zip
10,12,3,5,100.0,inf,0.0,42,cos,jaccard,9.846514701843262,0.0065,259.3271,11.3783,CenterParTree2,wine.zip
10,12,3,5,100.0,inf,0.1,42,cos,jaccard,10.18022918701172,0.0065,259.3271,11.3783,CenterParTree2,wine.zip
10,12,3,5,100.0,inf,0.2,42,cos,jaccard,9.895673990249634,0.0065,259.3271,11.3783,CenterParTree2,wine.zip
10,12,3,5,inf,100.0,0.0,42,cos,jaccard,119.75256943702698,0.0073,343.5668,1.7934,CenterParTree2,wine.zip
